55,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pop,35-6955,,37-6955,,40-6955,,41-6955,,48-6955,,53-6955,,69-6955,,84-6955,,101-6955,,107-6955,,111-6955,,114-6955,,119-6955,,124-6955,,126-6955,,127-6955,,129-6955,,198-6955,,207-6955,,272-6955,,292-6955,,297-6955,,298-6955,,303-6955,,320-6955,,344-6955,,354-6955,,363-6955,,376-6955,,391-6955,,399-6955,,408-6955,,437-6955,,447-6955,,448-6955,,455-6955,,462-6955,,470-6955,,471-6955,,478-6955,,479-6955,,484-6955,,499-6955,,508-6955,,510-6955,,512-6955,,514-6955,,518-6955,,519-6955,,529-6955,,557-6955,,560-6955,,586-6955,,604-6955,,608-6955,
A71,1,4,1,3,4,4,4,4,1,3,3,1,3,4,4,2,2,3,3,3,3,2,2,1,2,4,4,1,4,1,4,3,3,1,4,3,3,1,1,3,2,4,2,3,3,1,4,2,3,2,1,3,3,3,4,3,2,1,4,3,1,3,3,4,2,1,2,4,1,3,3,4,4,4,3,4,2,2,2,4,4,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2
A72,1,4,4,3,4,4,4,4,4,3,3,1,3,4,4,2,1,3,2,3,2,2,3,1,2,4,1,1,4,1,4,3,2,1,4,3,2,1,2,3,2,4,2,3,3,1,4,2,3,2,1,3,3,3,4,3,2,1,4,3,1,3,1,4,2,1,2,4,1,3,2,4,1,4,3,4,4,2,2,4,4,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2
A73,1,4,4,3,3,4,4,4,4,3,2,1,3,4,1,2,2,3,2,3,3,2,3,1,2,4,1,1,4,1,4,3,3,1,4,3,2,1,1,3,3,4,2,3,3,1,4,2,3,2,2,3,2,3,3,3,2,1,1,3,3,3,3,4,4,1,1,4,4,3,2,4,1,4,1,4,4,2,2,4,4,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2
A74,1,4,1,3,4,4,1,4,2,3,2,1,3,4,4,2,1,3,2,3,2,2,3,1,2,4,1,1,4,1,4,3,2,1,4,3,2,1,2,3,2,4,2,3,3,1,4,2,3,2,1,3,3,3,4,3,2,1,4,3,1,3,3,4,2,1,1,4,4,3,3,4,4,4,4,4,4,2,2,4,4,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2
A75,1,4,4,3,4,4,1,4,2,3,2,1,3,4,1,2,1,3,2,3,3,2,3,1,2,4,1,1,4,1,4,3,2,1,4,3,2,1,2,3,3,4,2,3,3,1,4,2,3,2,2,3,2,3,3,3,2,1,1,3,3,3,1,4,4,1,1,4,4,3,2,4,1,4,3,4,4,2,2,4,4,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2
A76,1,4,4,3,4,4,1,4,2,3,2,1,3,4,1,2,1,3,2,3,2,2,3,1,2,4,1,1,4,1,4,3,2,1,4,3,2,1,2,3,2,4,2,3,3,1,4,2,3,2,1,3,3,3,4,3,2,1,4,3,1,3,1,4,2,1,2,4,1,3,2,4,1,4,3,4,4,2,2,4,4,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2
A77,1,1,1,4,4,4,4,1,1,3,3,3,3,4,4,1,1,3,3,2,2,3,3,2,2,1,4,4,1,4,1,2,3,4,1,3,3,1,1,3,3,4,4,3,3,1,1,2,2,2,2,3,3,3,3,3,3,1,1,3,3,3,3,4,4,1,1,4,4,3,3,4,4,4,4,4,4,2,2,4,4,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,NA,NA,NA,NA
A78,1,4,4,3,4,4,1,4,2,3,2,1,3,4,4,2,2,3,2,3,3,2,3,1,2,4,4,1,1,1,1,3,3,1,1,3,3,1,1,3,3,4,4,3,3,1,1,2,2,2,2,3,3,3,4,3,2,1,4,3,1,3,3,4,2,1,2,4,1,3,3,4,4,4,3,4,2,2,2,4,2,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2
A79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,3,2,3,2,2,3,1,2,4,1,1,4,1,4,3,2,1,4,3,2,1,2,3,2,4,2,3,3,1,4,2,3,2,1,3,3,3,4,3,2,1,4,3,1,3,1,4,4,1,1,4,4,3,2,4,1,4,1,4,4,2,2,4,4,3,3,2,2,3,3,2,2,2,2,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2
A80,1,4,4,3,4,4,1,4,2,3,2,1,3,4,1,2,2,3,2,3,3,2,3,1,2,4,4,1,4,1,4,3,3,1,4,3,3,1,1,3,3,4,2,3,3,1,4,2,3,2,1,3,3,3,4,3,2,1,4,3,1,3,1,4,2,1,2,4,1,3,3,4,4,4,3,4,2,2,2,4,2,3,3,2,1,3,2,2,1,2,1,2,3,4,1,3,2,2,1,2,4,3,3,2,2,1,1,1,1,2,2
