20,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pop,26-5865,,163-5865,,181-5865,,184-5865,,193-5865,,207-5865,,209-5865,,214-5865,,224-5865,,225-5865,,227-5865,,231-5865,,233-5865,,246-5865,,286-5865,,591-5865,,891-5865,,2079-5865,,2080-5865,,2140-5865,
A71,1,2,3,2,4,4,1,3,2,3,3,4,2,1,3,1,3,3,1,3,1,2,2,1,1,3,3,2,2,1,1,3,3,4,4,4,4,2,2,3,3
A72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA
A73,1,2,2,2,4,4,1,3,2,3,3,4,2,1,3,1,3,3,1,3,1,2,2,1,1,3,3,2,2,2,2,3,3,4,4,1,1,1,1,3,3
A74,1,2,2,2,4,4,1,3,2,3,2,4,2,1,3,1,3,3,1,3,1,2,2,1,1,3,3,2,2,1,1,3,3,4,4,4,4,2,2,3,3
A75,1,2,2,4,2,1,4,2,3,3,3,2,4,3,1,3,1,1,3,1,3,2,2,4,1,2,3,3,2,1,1,3,3,4,4,4,4,2,2,1,1
A76,1,2,2,2,4,4,1,3,2,3,3,4,2,1,3,1,3,3,1,3,1,2,2,1,1,3,3,2,3,1,1,3,3,4,4,4,4,2,2,3,3
A77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA
A78,1,2,2,2,4,4,1,3,2,3,3,4,2,1,3,1,3,3,3,3,3,2,2,1,1,3,3,2,2,1,1,3,3,4,4,4,4,2,2,3,3
A79,1,2,2,2,4,4,1,3,2,3,3,4,2,1,3,1,3,3,3,3,3,2,2,1,1,3,3,2,2,1,1,3,3,4,4,4,4,2,2,3,3
A80,1,2,2,2,2,4,4,3,3,3,3,4,4,1,1,1,1,3,3,3,3,2,2,1,1,3,3,2,2,1,1,3,3,4,4,4,4,2,2,3,3
A81,1,2,2,2,4,4,1,3,2,3,3,4,4,1,1,1,1,3,3,3,3,2,2,1,1,3,3,2,2,1,1,3,3,4,4,4,4,2,2,3,3
A82,1,2,2,2,4,4,1,3,2,3,3,4,2,1,3,1,3,3,1,3,1,2,1,1,4,3,2,2,3,1,1,2,3,1,4,4,4,2,2,3,3
A83,1,2,2,2,4,4,1,3,2,3,3,4,2,1,3,1,3,3,1,3,1,2,2,1,1,3,3,2,2,1,1,3,3,4,4,4,4,2,2,3,3
