20,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pop,198-6782,,203-6782,,204-6782,,228-6782,,229-6782,,230-6782,,246-6782,,249-6782,,250-6782,,261-6782,,268-6782,,277-6782,,292-6782,,295-6782,,300-6782,,304-6782,,305-6782,,380-6782,,548-6782,,783-6782,
A71,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,4,4,2,2,1,1
A72,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,1,4,2,3,1,4
A73,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,4,1,2,3,1,4
A74,1,2,3,3,2,2,3,1,3,1,4,2,4,1,4,4,1,2,3,2,3,4,1,4,1,4,1,3,1,4,3,1,4,4,1,4,1,3,3,4,1
A75,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,1,4,2,3,1,4
A76,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,4,1,3,2,4,1
A77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,4,1,2,3,NA,NA
A79,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,4,1,3,2,4,1
A80,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,1,4,2,3,1,4
A81,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,4,4,2,2,1,1
A82,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,4,4,2,2,1,1
A83,1,2,2,3,3,2,2,1,1,1,1,2,2,1,1,4,4,2,2,2,2,4,4,4,4,4,4,3,3,4,4,1,1,4,4,4,1,3,3,4,1
